"RBD","AGNO","MRUN","COD_REG_RBD","COD_COM_RBD","COD_DEPE","RURAL_RBD","COD_ENSE2","GEN_ALU","ASISTENCIA","COD_GRADO","EDAD_ALU","PROM_GRAL","SLEP","Z"
45,2016,9936808,15,15101,3,0,2,2,97,8,13,"5,7",0,0
45,2018,9936808,15,15101,3,0,5,2,99,2,15,"5,9",0,0
45,2018,25461207,15,15101,3,0,5,2,99,1,14,"5,2",0,0
45,2017,9936808,15,15101,3,0,5,2,98,1,14,"5,5",0,0
50,2016,22630334,15,15101,3,0,2,2,96,8,13,"6,3",0,0
50,2018,22630334,15,15101,3,0,5,2,96,2,15,"6,2",0,0
50,2017,22630334,15,15101,3,0,5,2,94,1,14,"6,3",0,0
52,2018,16940430,15,15101,3,0,5,2,99,1,14,"6,8",0,0
52,2016,16940430,15,15101,3,0,2,2,98,7,12,"6,9",0,0
52,2016,6212967,15,15101,3,0,2,1,97,8,13,"6,5",0,0
52,2018,6212967,15,15101,3,0,5,1,99,2,15,"6,4",0,0
52,2017,16940430,15,15101,3,0,2,2,94,8,13,"6,9",0,0
52,2017,22827914,15,15101,3,0,2,1,0,5,10,NA,0,0
52,2016,22827914,15,15101,3,0,2,1,90,4,9,"6",0,0
52,2017,6212967,15,15101,3,0,5,1,97,1,14,"6,2",0,0
52,2023,26263777,15,15101,3,0,5,1,97,4,18,"6,2",0,0
52,2022,26263777,15,15101,3,0,5,1,96,3,17,"6",0,0
56,2023,17780379,15,15101,3,0,5,1,86,1,14,"5,6",0,0
56,2022,17780379,15,15101,3,0,2,1,96,8,13,"5,5",0,0
56,2018,17780379,15,15101,3,0,2,1,87,4,9,"5,7",0,0
56,2017,17780379,15,15101,3,0,2,1,94,3,8,"6",0,0
56,2016,17780379,15,15101,3,0,2,1,95,2,7,"6,2",0,0
59,2022,16378422,15,15101,4,0,2,2,97,2,7,"6,7",0,0
59,2023,16378422,15,15101,4,0,2,2,97,3,8,"6,7",0,0
103,2023,25362139,1,1101,1,0,2,1,88,2,7,"6,2",0,0
103,2023,15093878,1,1101,1,0,2,1,74,3,8,"6,2",0,0
103,2022,15093878,1,1101,1,0,2,1,81,2,7,"6,1",0,0
103,2022,25362139,1,1101,1,0,2,1,85,1,6,"6,6",0,0
